"Actinobacteria";Acidimicrobiaceae;Acidimicrobium
"Aquificae";Aquificaceae;Aquifex
"Aquificae";Aquificaceae;Hydrogenivirga
"Aquificae";Aquificaceae;Hydrogenobacter
"Aquificae";Aquificaceae;Hydrogenobaculum
"Aquificae";Aquificaceae;Thermocrinis
"Aquificae";Hydrogenothermaceae;Hydrogenothermus
"Bacteroidetes";"Flammeovirgaceae";Flammeovirga
"Bacteroidetes";Cytophagaceae;Emticicia
"Bacteroidetes";Cytophagaceae;Leadbetterella
"Chlamydiae";Simkaniaceae;Simkania
"Chloroflexi";"Chloroflexaceae";Roseiflexus
"Chloroflexi";Anaerolineaceae;Anaerolinea
"Chloroflexi";Anaerolineaceae;Bellilinea
"Chloroflexi";Anaerolineaceae;Leptolinea
"Chloroflexi";Anaerolineaceae;Levilinea
"Chloroflexi";Anaerolineaceae;Longilinea
"Chloroflexi";Sphaerobacteraceae;Sphaerobacter
"Fusobacteria";"Leptotrichiaceae";Sneathia
"Fusobacteria";"Leptotrichiaceae";Streptobacillus
"Planctomycetes";Planctomycetaceae;Blastopirellula
"Planctomycetes";Planctomycetaceae;Gemmata
"Planctomycetes";Planctomycetaceae;Isosphaera
"Planctomycetes";Planctomycetaceae;Planctomyces
"Planctomycetes";Planctomycetaceae;Rhodopirellula
"Planctomycetes";Planctomycetaceae;Schlesneria
"Planctomycetes";Planctomycetaceae;Singulisphaera
"Planctomycetes";Planctomycetaceae;Zavarzinella
"Planctomycetes";Phycisphaeraceae;Phycisphaera
"Proteobacteria";Comamonadaceae;Verminephrobacter
"Proteobacteria";Neisseriaceae;Iodobacter
"Proteobacteria";Rhodocyclaceae;Quatrionicoccus
"Proteobacteria";Desulfobacteraceae;Desulfobacter
"Proteobacteria";Desulfobacteraceae;Desulfocella
"Proteobacteria";Desulfobacteraceae;Desulfospira
"Proteobacteria";Geobacteraceae;Geopsychrobacter
"Proteobacteria";Ectothiorhodospiraceae;Thiorhodospira
"Proteobacteria";Gammaproteobacteria_incertae_sedis;Thiohalorhabdus
"Spirochaetes";Spirochaetales_incertae_sedis;Exilispira
"Synergistetes";Synergistaceae;Aminiphilus
"Synergistetes";Synergistaceae;Cloacibacillus
"Synergistetes";Synergistaceae;Synergistes
"Tenericutes";Anaeroplasmataceae;Asteroleplasma
"Tenericutes";Entomoplasmataceae;Entomoplasma
"Tenericutes";Entomoplasmataceae;Mesoplasma
"Tenericutes";Entomoplasmataceae;unclassified_Entomoplasmataceae
"Tenericutes";Mollicutes;unclassified_Mollicutes
"Thermotogae";Thermotogaceae;Thermosipho
"Verrucomicrobia";Opitutaceae;Alterococcus
"Verrucomicrobia";Opitutaceae;Opitutus
"Verrucomicrobia";Puniceicoccaceae;Coraliomargarita
"Verrucomicrobia";Puniceicoccaceae;Pelagicoccus
"Verrucomicrobia";Puniceicoccaceae;Puniceicoccus
"Verrucomicrobia";Spartobacteria;Spartobacteria_genera_incertae_sedis
"Verrucomicrobia";Verrucomicrobiaceae;Akkermansia
"Verrucomicrobia";Verrucomicrobiaceae;Persicirhabdus
"Verrucomicrobia";Verrucomicrobiaceae;Verrucomicrobium
Cyanobacteria/Chloroplast;Chloroplast;Cryptomonadaceae
Cyanobacteria/Chloroplast;Chloroplast;Euglenida
Firmicutes;Pasteuriaceae;Pasteuria
Firmicutes;Veillonellaceae;Phascolarctobacterium
Firmicutes;Halobacteroidaceae;Acetohalobium
Firmicutes;Halobacteroidaceae;Halanaerobacter
Firmicutes;Halobacteroidaceae;Halanaerobaculum
Firmicutes;Halobacteroidaceae;Halobacteroides
Firmicutes;Halobacteroidaceae;Selenihalanaerobacter
Firmicutes;Halobacteroidaceae;Sporohalobacter
Firmicutes;Thermodesulfobiaceae;Coprothermobacter
Firmicutes;Erysipelotrichaceae;Allobaculum
